username,handle,postDate,likes,shares,total_comments,post_url,responding,post_id
IndiHome Care,IndiHomeCare,2023-07-03 09:44:10,38,2,177,https://facebook.com/IndiHomeCare/posts/667229375421825,"Jangan khawatir, Sobat!Kamu masih bisa menghubungi IndiHome care seperti biasa melalui channel digital.Dengan bersatu, kami juga memudahkan Kamu untuk menggunakan customer touch point Telkomsel seperti call center 188, website www.telkomsel.com, dan GraPARITidak ada perubahan pada paket, tarif berlangganan, atau Poin myIndiHome yang sudah kamu kumpulkan. Tetap sama seperti sebelumnya, namun lebih mudah ke depannya!#BersatuLebihMudahDon't You Worry, Buddy!You can still contact IndiHome care as usual through digital channels.By uniting, we also make it easier for you to use Telkomsel's customer touch point such as call center 188, website www.telkomsel.com , and GraPARINo changes to your plans, subscription rates or myIndiHome Points you’ve accumulated. Stay the same as before, but easier in the future!#BersatuLebihMudah",667229375421825
eno.fitrah,eno.fitrah,2023-07-03 16:00:00,,,7,https://facebook.com/252443787519938,Saya mau tanya migrasi 2p 30mbps internet+tv ke 2p internet+tv yang murah dan terjangkau...,252443787519938
IndiHomeCare,IndiHomeCare,2023-07-03 16:00:00,0,0,0,https://facebook.com/3490755631147037,"Hai, Kak Eno. Dimen informasikan untuk harga termurah Paket 2P(Internet dan IndiHomeTV) kecepatan 30 Mbps adalah dengan harga Rp340.000,00/bulan belum PPN 11% sudah termasuk biaya sewa perangkat. Perihal permintaan migrasi ke paket tersebut dapat dibantu melalui kami jika memenuhi syarat dan ketentuan yang berlaku. Silakan informasikan dahulu melalui DM data-data berikut:- Nomor internet:- Nama Pemilik:- Alamat:- Jumlah tagihan terakhir dengan status lunas:- Tanggal pembayaran tagihan terakhir dengan status lunas:- Relasi/status hubungan dengan Pemilik:Terima kasih. -Dimen",3490755631147037
eno.fitrah,eno.fitrah,2023-07-03 16:00:00,0,0,0,https://facebook.com/6299638713458753,IndiHome Care kalau yang 2p 20mbps...,6299638713458753
IndiHomeCare,IndiHomeCare,2023-07-03 16:00:00,0,0,0,https://facebook.com/793494232431079,"Mohon maaf, Kak Eno. Saat ini Paket 2P(Internet dan IndiHomeTV) maupun 2P(Internet dan Telepon) tidak tersedia dengan kecepatan 20 Mbps ya. Jika ingin melakukan perubahan paket ke paket tersebut, maka permintaannya belum dapat dibantu lebih lanjut. Terima kasih. -Dimen",793494232431079
eno.fitrah,eno.fitrah,2023-07-03 16:00:00,0,0,0,https://facebook.com/1864283233972503,IndiHome Care kalau yang 1p 20mbps...,1864283233972503
IndiHomeCare,IndiHomeCare,2023-07-03 16:00:00,0,0,0,https://facebook.com/834882534909013,"Kak Eno, Dimen informasikan saat ini Paket 1P(Internet Only) kecepatan 20 Mbps juga sudah tidak tersedia ya. Terima kasih. -Dimen",834882534909013
eno.fitrah,eno.fitrah,2023-07-03 16:00:00,0,0,0,https://facebook.com/280385177807367,IndiHome Care grapari telkomsel apakah sama dengan grapari indihome...,280385177807367
IndiHomeCare,IndiHomeCare,2023-07-03 16:00:00,0,0,0,https://facebook.com/809624523812410,"Kak Eno, mulai tanggal 1 Juli 2023 seluruh GraPARI Telkomsel sudah siap memberikan informasi dalam melayani pelanggan IndiHome ya, Kak. Terima kasih -Fasha",809624523812410
dhanie.alfonso.50,dhanie.alfonso.50,2023-07-02 00:00:00,,,9,https://facebook.com/648480220528217,Min. Loss konect,648480220528217
IndiHomeCare,IndiHomeCare,2023-07-02 00:00:00,0,0,0,https://facebook.com/692243526066970,"Hi Kak Arka. Koneksi internetnya los atau tidak terdapat koneksi. Anin pandu, ya, Kak. Mohon pastikan terlebih dahulu kabel patch cord (kabel yang berwarna hitam/kuning, ujung berwarna biru) sudah terpasang atau tertancap dengan kencang dan benar. Lalu, Kakak tunggu sampai lampu power, PON/LINK, internet, dan WiFi pada ONT/modem menyala. Setelah itu coba koneksikan kembali. -Anin",692243526066970
dhanie.alfonso.50,dhanie.alfonso.50,2023-07-03 01:00:00,0,0,0,https://facebook.com/1449678842518784,"IndiHome Care sudah , tetep loss",1449678842518784
dhanie.alfonso.50,dhanie.alfonso.50,2023-07-03 01:00:00,0,0,0,https://facebook.com/665783264886659,IndiHome Care,665783264886659
IndiHomeCare,IndiHomeCare,2023-07-03 01:00:00,0,0,0,https://facebook.com/966604707986000,"Baik Kak Arka, silakan informasikan nomor HP alternatif melalui Inbox. -Lily",966604707986000
dhanie.alfonso.50,dhanie.alfonso.50,2023-07-03 01:00:00,0,0,0,https://facebook.com/2003565143317285,IndiHome Care sudah,2003565143317285
IndiHomeCare,IndiHomeCare,2023-07-03 01:00:00,0,0,0,https://facebook.com/948686673072893,"Baik Kak, guna Marli bantu tindak lanjuti apakah nomor HP yang berakhiran 41 masih aktif? Jika sudah tidak aktif, silakan informasikan nomor HP aktif beserta nomor HP alternatif melalui inbox ya, Kak. Terima kasih. -Marli",948686673072893
IndiHomeCare,IndiHomeCare,2023-07-03 01:00:00,0,0,0,https://facebook.com/821798495953329,"Baik, Kak. Mohon berkenan menunggu. DM Kakak akan segera kami balas. -Marli",821798495953329
dhanie.alfonso.50,dhanie.alfonso.50,2023-07-03 01:00:00,0,0,0,https://facebook.com/826847585458366,IndiHome Care Udah 2 jam dari inbox terakhir,826847585458366
rio.suyanto,rio.suyanto,2023-07-03 07:00:00,0,0,0,https://facebook.com/241572218653984,Arka Zm kasus sama seperti sya udah 1 hari gak bisa padahal paket prioritas.Yg du atas paket biasa udah 4 hari gk bisa.,241572218653984
profile.php,profile.php,2023-07-03 02:00:00,,,0,https://facebook.com/299341322517435,Bagaimana ini tanggung jawab ke konsumer,299341322517435
profile.php,profile.php,2023-07-03 19:00:00,,,1,https://facebook.com/962187484996078,Download app myIndiHome dmn,962187484996078
IndiHomeCare,IndiHomeCare,2023-07-03 19:00:00,0,0,0,https://facebook.com/7315503265132193,"Kak Susi, aplikasi myIndiHome bisa di-download melalui Play Store (Android) atau App Store (iOS) ya. Terima kasih -Fasha",7315503265132193
ikhwan.ikhwan.14,ikhwan.ikhwan.14,2023-07-03 15:00:00,,,2,https://facebook.com/984588326010110,Min cek inbox ya.,984588326010110
IndiHomeCare,IndiHomeCare,2023-07-03 15:00:00,0,0,0,https://facebook.com/223785043375554,"Hai, Kak Ikhwan. Terkait Inbox-nya akan segera kami balas, ya. Silakan cek secara berkala Inbox dari kami. Terima kasih -Vale",223785043375554
ikhwan.ikhwan.14,ikhwan.ikhwan.14,2023-07-03 16:00:00,0,0,0,https://facebook.com/1299723014281506,IndiHome Care cek inboxx ya kak.,1299723014281506
profile.php,profile.php,2023-07-03 20:00:00,,,3,https://facebook.com/669667421855343,"Pagi, min.",669667421855343
