username,handle,postDate,responding,retweets,likes
faraday,@itsmeferdy,2023-06-16T09:30:38.000Z,"@IndiHome sumpah gabisa buat apa2 sinyal gada seharian, ga wifi ga paket sama2 lemot bahkan gabisa dipake hhhhh 444",,
InspireDailyShop,@skirdailyinsp,2023-06-16T08:49:45.000Z,@IndiHome BENERIN JARINGAN LO DI BEKASI 445,,
Pharsa || PSYCHO,@Pharsa_Juni,2023-06-16T08:40:51.000Z,@IndiHome kalo hujan emang parah bgt ya sinyal nya? eh bukan pas hujan doang deng dr bbrp hari yg lalu udh jelek bgt sinyal nya capek deh 4,,
︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎  ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎ ︎,@SriBataraKresna,2023-06-16T08:04:07.000Z,"@IndiHome @IndiHomeCare Coba dicek App nya, harusnya bukan String itu apa tuh harusnya. Coba benerin ",,
HARGA DISTRIBUTOR TOPUP GAME DISINI,@sobatcash_com,2023-06-16T07:54:07.000Z,Membalas @sobatcash_com @triindonesia@IndiHome@byu_id@simpati@telkomselhalotolong dong benerin jaringannyaa masa iya harus naik meja dulu baru full,,
kml,@kamelariyani,2023-06-16T07:44:45.000Z,"ini wifi saya kalau telp suka putus2 , apakah karna kabelnya deket pintu masuk balkon?karna kabelnya kayak kekikis gitu , gimana ya ? @IndiHome 4104",,
Rada,@Rada_1212,2023-06-16T07:30:00.000Z,lambat bgt dari pagi  @IndiHome 480,,
Andika,@Andikadika_26,2023-06-16T07:25:00.000Z,berhrnti langgnanan bisa disini min ? @IndiHome 428,,
Vadha,@vadhahidayat,2023-06-16T07:23:40.000Z,@IndiHome call center 147 nya kok ga bisa dihubungi yaa hmm 3153,1.0,
IndiHomeCare,@IndiHomeCare,2023-06-16T06:07:08.000Z,Membalas @Rio94138428 dan @IndiHome 5. Tanggal pembayaran terakhir dengan status lunas tanggal-bulan6. Relasi dengan pemilik IndiHome7. Nomor ponsel utama 8. Nomor ponsel alternatif,,
Marwah,@Marwah14417743,2023-06-16T05:40:00.000Z,wifi saya lemot @IndiHome 465,,
Rio,@Rio94138428,2023-06-16T05:23:00.000Z,@IndiHome min inet saya lemot 438,,
Zani,@YaniSuryani1212,2023-06-16T04:56:00.000Z,@IndiHome min cek dm 225,,
pace,@wahidsaputraaaa,2023-06-16T04:47:44.000Z,Indihome marai suloyo @IndiHome 4158,,
IndiHomeCare,@IndiHomeCare,2023-06-16T04:35:03.000Z,Membalas @khaizuresgf dan @IndiHome Guna dibantu pengecekan lebih lanjut maka bisa informasikan  data-data berikut  melalui DM di akun Twitter @IndiHomeCare atau klik Link :  http://myih.ch/dm :1. Nomor internet2. Atas nama3. Alamat4. Jumlah tagihan terakhir dengan status lunas tanpa biaya admin,,
ini,@sendiwijayaa,2023-06-16T04:31:21.000Z,"Indihum ini emang ngeselinnya dari sebelum pasang ya,petugasnya dimodalin jas hujan min, supaya kalo hujan tetep bisa kerja.Percuma udah izin kantor, janjian pagi, tapi ga jalan-jalan sampe siang petugasnya @IndiHome 1215",,
"key joki tugas, ppt, cerpen, paper (lgsg wa)",@khaizuresgf,2023-06-16T04:22:40.000Z,@IndiHome jelek banget kenapa deh dari kemarin kemarin 468,,
Heniismawati,@Heniismawati62,2023-06-16T04:19:38.000Z,"Selamat siang kak, izin bertanya kak bagaimana cara berhenti berlanggan Indihome ya kak? Terimakasih sebelumnya kak @IndiHome @IndiHomeCare @indihomejkt 251",,
Ai | 𝚃 𝚛 𝚊 𝚜 𝚑,@ohmfluketrash,2023-06-16T04:03:02.000Z,Membalas @IndiHome Kalau kabel putus di luar rumah dikenakan biaya berapa ya kak?,,
bananananancoklat,@jodohkucakepbgt,2023-06-16T03:22:14.000Z,"@IndiHome min ini dari subuh los merahh teruss , tnya tentanga juga loss merahh udh cht teknisi katanya ada gangguan tp udh jam sgni ga bener bener 2116",,
Feri AFA,@FeriAFA3689,2023-06-16T03:15:26.000Z,"@IndiHome Orang mau Berhenti berlangganan kok di persulit ...Dimintai semua Data, sudah diberikan, tapi ujung-ujungnya tidak mau menanggapi DM nya lagi ...Hadewh ... 130",,
shinta suryani,@shishintaaaa,2023-06-16T02:16:51.000Z,"indihome lagi trouble kah? @IndiHome @IndiHomeCare  dari pagi dtg ke kantor sampai skrg masih no connection. kenawhy??internet dibutuhkan bgt buat kerja euiiiiii.... tlg dong min, segera di atasi masalah ini thankyou 169",,
Putri,@may_beaprincess,2023-06-16T01:54:54.000Z,@IndiHome ini gimana nih no connection mulu dari tadi malam 344,,
caramelmacchiato,@ice_caramel12,2023-06-16T01:30:59.000Z,@IndiHome 124,,
Curren,@Curren43924228,2023-06-16T01:30:47.000Z,min cek dm @IndiHome 127,,
sophia kristiana,@sophiakristian3,2023-06-16T01:25:10.000Z,Membalas @dinno_gambur @Telkomsel  dan 2 lainnya Disurabaya definisi kota besar aja malah ga nyambung kejaringan padahal penting banget dari 3 hari luemott poll,,
@AgnitiaBudia,@AgnitiaBudia,2023-06-16T00:55:04.000Z,@IndiHome 124,,
tyler durden,@meksthekidd,2023-06-16T00:54:58.000Z,gila lo ye dari semalem lemotnye gaada otak! bisa turun performa nih lama kelamaan @IndiHome 2103,,
Hamcohamise,@Hamcohamise1,2023-06-16T00:54:51.000Z,min @IndiHome 126,,
Dinno_Gambur,@dinno_gambur,2023-06-16T00:52:44.000Z,Signal jaringan @Telkomsel @IndiHome @myorbitid wilayah Sumba bagian barat down sudah 2 hari. 4480,,
sieg zelda,@ZeldaSieg,2023-06-16T00:24:42.000Z,Min @IndiHome 128,,
yusuf serebu,@YSerebu,2023-06-16T00:24:33.000Z,@IndiHome 119,,
wiradhaninjaya,@wiradhaninjaya,2023-06-16T00:24:23.000Z,min @IndiHome 127,,
volume4four@gmail.com,volume4four@gmail.com,2023-06-16T00:24:12.000Z,Cek jaringan dong min @IndiHome 119,,
dian robiatul adawiyah,@adawiyah_d24207,2023-06-16T00:04:23.000Z,@IndiHome untuk pindah alamat yg baru apa. Kena biayanya lagih? 231,,
Dida,@roditu2020,2023-06-15T23:18:18.000Z,@IndiHome gangguan dari malem ,1.0,9.0
𝒈𝒊𝒈𝒊( ◜‿◝ )♡,@icecreamyjy,2023-06-15T22:46:21.000Z,@IndiHome gmn sih udah 3 hari wifi offline total gkjls 233,,
mituy.y,@sunmoon_2030,2023-06-15T18:30:50.000Z,Beberapa hari iniii sinyall wifi ilang terus sama lemot . Apa lagi sore sampe saat ini hilang terus lama juga ilangnya huhuhu @IndiHome 3100,,
naywkshshsehswjwhwh,@wkwkwkdiemga,2023-06-15T17:41:10.000Z,Membalas @wkwkwkdiemga pppppp @IndiHome @IndiHomeCare,,
Ju,@Juanalfynsh,2023-06-15T17:40:49.000Z,@IndiHome lg ngerank gue ajg 3142,,
Hendra,@Hendra39087623,2023-06-15T17:26:35.000Z,Napa lagi dah @IndiHome 443.502,,4.0
norjik,@norjik,2023-06-15T17:03:44.000Z,"@IndiHome @IndiHomeCare malam, apakah bisa saya menndown grade paket layanan indihome saya menjadi yang 10mb/s saja ? 182",,
Jojo Bisa Booster,@JojoHadf,2023-06-15T16:45:41.000Z,Cek DM min  @IndiHome 162,,
Daisuke Kambe re:Bocil Kematian,@azfwzy_,2023-06-15T16:29:03.000Z,"Thx @IndiHome, waktunya beralih ke provider lainJaringan lu jelek @IndiHome 290",,
Anna Lhatifah,@annaltf,2023-06-15T15:39:35.000Z,asdfghjkl jaringan kamu benar2 menguji kesabaran  @IndiHome @IndiHomeCare 166,,
555.,@oydstr,2023-06-15T15:39:23.000Z,lop u @IndiHome ,,1.0
𓃦,@avenooir,2023-06-15T15:27:29.000Z,@IndiHome ,,
DXXXO,@deetoh,2023-06-15T13:44:52.000Z,halo @IndiHome @IndiHomeCare @indihomejkt gue mau nambah paket lama banget nih diurusnya... tolong dongs.. ,,
atala,@calicowcat,2023-06-15T13:39:27.000Z,Indihome udah ga sepaket ya sama disney+? Premium tiba-tiba keputus masa @IndiHome 2137,,
Claudio,@diOx_,2023-06-15T13:13:20.000Z,"@IndiHome admin tolong bantu lampu internet di modem tdk nyala, sdh 3x direstart.. 0434-2604475.. sudah lapor lewat app indihome, jadwal teknisinya datang pilihannya cm hari rabu tgl 21 minggu depan, kocak dah ",,
Zainudin Habibie,@zayhabibie,2023-06-15T13:11:05.000Z,@IndiHome min tlng respon dm 126,,
raa,@wannawiiinnn,2023-06-15T12:50:16.000Z,@IndiHome min saya mau pasang indihome tapi udah penuh jaringannya solusinya gimana ya? 243,,
kriswakanu,@kriswakanu,2023-06-15T12:43:50.000Z,"@IndiHomeCare @IndiHome min,. Dm nya direspon toh.. dioyak oyak pelanggan kii. 167",,
Putra (Art_uP),@xpoetz,2023-06-15T12:40:48.000Z,"Dear @IndiHome & @IndiHomeCare, ip indihome dengan awalan 125, 180, dan 202 tidak pernah bisa connect ke Playstation network. Hanya awalan 36 yg bisa. Masa kita disuruh restart modem terus sampai dapat 36? 2116",,
𝚍𝚎,@onlyrkive_,2023-06-15T12:13:05.000Z,Membalas @txtdrindomy @IndiHome @IndiHomeCare,,
Yogi Natasukma™,@SoundOfYogi,2023-06-15T12:03:03.000Z,@indihometolong dong ya ,,
chuu,@chxxooo,2023-06-15T12:02:32.000Z,"Membalas @chxxooo -laporan via apps, eh pas lg error mau laporan via apps, apps nya gak bisa dipake @IndiHomeCare @IndiHome",,
˃̵ᴗ˂̵,@lovishoon,2023-06-15T11:51:50.000Z,stress bgt @IndiHomeCare @IndiHome ada keluhan malah dikacangin!! 5,,
Wied_68,@68Wied,2023-06-15T11:38:16.000Z,@IndiHome 22,,
Wied_68,@68Wied,2023-06-15T11:35:53.000Z,"@IndiHome Selamat sore. Saya, Setia Widiantoro, pengguna IndiHome, dengan nomor pelanggan 131249113364.Hari ini mengajukan dan menyatakan berhenti sebagai pelanggan dengan alasan pindah tugas/ pindah rumah ke luar Jawa.Mohon dapat ditanggapi dan diproses lebih lanjut.Thanks 371",,
IndiHome,@IndiHome,2023-06-15T11:27:55.000Z,"Sobat, ikonser bakal hadir kembali dengan tayangan LIVE Prambanan Jazz Festival 2023, loh! Jangan sampai ketinggalan ya, Sobat, catat tanggalnya dan segera berlangganan iKonser! #AktivitasTanpaBatas#InternetnyaIndonesia#IndiHome ",3.0,8.0
Bismillah Bisa,@Bisakalokepepet,2023-06-15T10:35:00.000Z,@indihome min 327,,
Bulanbintang,@Bulanbi72339363,2023-06-15T08:45:00.000Z,@indihome soreeee 3113,,
@penipulung,@penipulung,2023-06-15T08:34:00.000Z,@indihome halo min 332,,
Mengciang,@mengciang,2023-06-15T08:00:02.000Z,@indihome lag min 345,,
Dian Ayuu,@DianAyuu20,2023-06-15T08:00:00.000Z,@indihome lag min 347,,
esmeralda,@meraldesme,2023-06-15T07:44:15.000Z,@IndiHome sianggg.... 338,,
Novario Estabilizo,@NEstabilizo,2023-06-15T07:43:48.000Z,"@IndiHome tolong lah, jangan mulai dulu 338",,
Ahmad Arifin,@hanbur_arifin,2023-06-15T07:43:12.000Z,Membalas @ayungbukanariel @diccozebua  dan 2 lainnya Main cepat biar tuan rumah kewalahan hadapi permainan,,
vina,@vina47094831,2023-06-15T07:42:33.000Z,@IndiHome nanya dong 132,,
Uya,@Uyacarsom,2023-06-15T07:33:00.000Z,@indihome halo min 332,,
Fachrul Firmansyah,@ayungbukanariel,2023-06-15T07:29:59.000Z,"Membalas @diccozebua @hanbur_arifin  dan 2 lainnya Ga aneh sih, jepang men, cepat !",,
Ricky Pardamaian,@kpardamaian,2023-06-15T07:27:11.000Z,@IndiHomeCare  @Smart_Bisnis Masih ada juga pola lempar sana sini di sini yaa @IndiHome  @KemenBUMN ,,
Kurniawan,@kurniawanbrooo,2023-06-15T07:18:00.000Z,@indihome koneksi kenapa min lag 343,,
Andi S. Zebua,@diccozebua,2023-06-15T07:11:12.000Z,"Membalas @hanbur_arifin @ayungbukanariel  dan 2 lainnya Iya, speednya urang cepet pisan. Video baru diplay satu detik udah crot",,
angyayan,@ang_yayan,2023-06-15T06:20:17.000Z,Membalas @IndiHome selamat siang kk,,
angyayan,@ang_yayan,2023-06-15T06:19:40.000Z,Membalas @IndiHome dan @wisnu_briAmira selamat siang kk,,
Rezcio,@Ciozacio,2023-06-15T06:14:41.000Z,"misi nih cuma saran aja, kalo mau nawarin sesuatu itu yg baik yg jelas yg ramah, kita yg dengerin kan jadi enak sapa tau juga tertarik, tapi ini tadi dapet telp penawaran upgrade internet lah tapi kok kayak kurang ramah dan gak jelas gitu sih, saran aja@IndiHome @IndiHomeCare 146",,
frick ega,@ega_frick,2023-06-15T04:46:18.000Z,"@IndiHome @IndiHomeCare Makin kesini makin parah ajh ini jaringan kami... padahal kami sudah upgrade ke 100Mbps, kami sangat terganggu dengan jaringan yang turun naik, malah kami cek peed cuma 2-3mb saja, tolong di perbaiki agar konsumen tidak kecewa!id saya 0021082696958 239",,
greyy,@YDiwH3Ka8fcNQjb,2023-06-15T04:37:55.000Z,Membalas @patuuuy @IndiHome dan @IndiHomeCare Nomer wifi 0265321949 muncul kedip merah dan wifi tidak bisa di gunakan..mungkin bisa bantu? Ini nomer yg bisa di hubungi 085321895222,,
shigure // soon-to-be the Yellow Jacket,@shigurewastaken,2023-06-15T03:39:03.000Z,@IndiHome RAAAHHHHHHH CONSTANT 250 MS UNPLAYABLE WITH THIS BULLSHIT 245,,
EMONster gede,@dai_kaiju,2023-06-15T02:57:33.000Z,Mosok yo harus pindah rumah biar dapet provider selaen @IndiHome ..lama2 bisa gila aku kena inet kagak bener gini... 141,,
Bakul Sayur,@ipramono_,2023-06-15T02:40:29.000Z,min @IndiHome mau downgrade paketan internet bisa ga sih ? kemahalan ni 279,,
sintexeror,@sintexeror12,2023-06-15T02:38:54.000Z,Membalas @IndiHomeCare dan @IndiHome min,,
Bilqis85,@Bilqis85260147,2023-06-15T02:37:54.000Z,Min @IndiHome 122,,
putrilaila,@putrila_ila,2023-06-15T02:36:55.000Z,@IndiHome min 120,,
Raditya,@RXavario,2023-06-15T02:36:12.000Z,@IndiHome 119,,
IndiHome Depok,@indihome_depok,2023-06-15T02:26:03.000Z,"Penggantian perangkat pada layanan IndiHome itu gratis ya, Sobat. Demi menjaga kenyamanan dan keamanan Kamu, gunakan sumber informasi yang valid seperti @IndiHome atau @IndiHomeCare!Pastikan Kamu tidak pernah melakukan transaksi apa pun dengan teknisi#AktivitasTanpaBatas ",,3.0
Q,@JMangimbulude,2023-06-15T02:22:09.000Z,internet di kantor bayar sampe 20 juta lebe tapi jringan lemot minta ampun @indihome 2239,,
supramen,@leslaiii3,2023-06-14T23:08:16.000Z,@IndiHome mau tanyaa 136,,
Fitri Yani,@FitriYa8756578,2023-06-14T23:07:41.000Z,saya mau upgrade speed @IndiHome 247,,
~,@jeyaaniy,2023-06-14T22:58:30.000Z,"@IndiHome pagi min, 122848207800 sedang gangguan ? Mohon infonya ASAP 5186",,
Ancih,@FiqihDrmnsyh,2023-06-14T20:17:25.000Z,"Tolong bang, internet saya kenapa ini @IndiHome 3117",,
Daniswara,@gasslekk,2023-06-14T18:54:07.000Z,min knp internet tbtb no connection @IndiHomeCare @IndiHome 3108,,
Mr.Lost,@TuanDampar,2023-06-14T18:46:18.000Z,"@IndiHome boleh tau ada kendala apa ya? kok cuman bisa akses youtube dan ig? sedangkan yg lainnya tidak bisa diakses, please explain the problem 2110",,
Chéraa :p,@hyunjinwiffey,2023-06-14T18:40:24.000Z,@IndiHomeCare @IndiHome wifi nya ini kok lag ya kak? cek dm dong 1129,,
babypeachyy,@cashewyyy,2023-06-14T18:33:48.000Z,Indihome ngapa ngelag banget siii gangguan mulu padahal gw pake yg 50 mbps @IndiHome 2234,,
kingAJ,@_____kingAJ,2023-06-14T18:27:54.000Z,Membalas @rahmatajiptrnto dan @IndiHome Wkwk... Kramatwatu... Saya dari serang malah layanan Internet tidak tersedia... Padahal lampu Indikator ijo semua,,
Ahohoy,@rangga_dikta,2023-06-14T18:26:41.000Z,Kita nih sbgai konsumen bisa ga ya gugat kayak @IndiHome yang suka² hilang akses internet ? 2141,,
DanangP,@NotForSale56,2023-06-14T18:25:01.000Z,"@IndiHome nopel 122420224779 tolong cek min, kok offline ya 296",,
poerealism,@rahmatajiptrnto,2023-06-14T18:17:41.000Z,"Ini @IndiHome kenapa cuma bisa yutub sama ig, tapi kek twitter, website, ama game ga bisa? 531.144",,3.0
Agym Arwandarosanza,@agyma_,2023-06-14T18:12:10.000Z,Membalas @kegblgnunfaedh @alditaher dan @FIFAWorldCup @IndiHome min ini internet kenapa matiiiii??!!!! gua lagi maen valo jadi kalah anjay,,
.,@marvinalanio,2023-06-14T18:11:46.000Z,"Kenapa bisa tbtb wifi error ini saya udh restart wifi 5x, listrik rumahpun saya restart @IndiHome. Tolong lah mau wish Kazuha saya 2250",,
Agym Arwandarosanza,@agyma_,2023-06-14T18:10:59.000Z,Membalas @TxtdariHI @IndiHome min ini internet kenapa matiiiiiiiii??!!! gua lagi maen valo jadi kalah ini,,
Ntdrypp,@sunraybeam,2023-06-14T18:03:43.000Z,Membalas @IndiHomeCare Sampai saat ini masih belum bisa konek ya @IndiHomeCare @IndiHome,,
Pew,@chernobel16,2023-06-14T17:55:18.000Z,Membalas @chkajapinto @sunraybeam  dan 2 lainnya Kambuh penyakitnya,,
Ntdrypp,@sunraybeam,2023-06-14T17:47:44.000Z,Ini internet kenapa tiba-tiba mati ya @IndiHomeCare @IndiHome ?Yakali tengah malem gangguan 211.450,,1.0
IndiHomeCare,@IndiHomeCare,2023-06-14T17:34:30.000Z,"Membalas @stillgurls dan @IndiHome Halo Sobat. Agar bisa kami bantu cek jaringannya, silakan informasikan nomor internetnya via DM ya (http://myih.ch/dm). -Hasan",,
Dhani | was cancercrushh,@chicagoloverboy,2023-06-14T17:04:49.000Z,@IndiHome lo kenapa dah aneh bgt internet lo 3116,,
B3Y,@hiiB3Y,2023-06-14T15:54:58.000Z,@IndiHome halo indihome ,,
Fajrin,@Molenelo,2023-06-14T15:50:16.000Z,Membalas @_helveticanism dan @IndiHome Mana desain aing,,
pemancinghandal,@fachri_rr,2023-06-14T15:39:38.000Z,Membalas @iqbalfathurr14 dan @xlhomeid @IndiHome temen saya mau langganan gimana caranya?,,
solomon,@_helveticanism,2023-06-14T15:36:27.000Z,Membalas @Molenelo dan @IndiHome tonjok,,
lulu,@lulu73775096,2023-06-14T15:34:08.000Z,"@IndiHomeCare @IndiHome halo kak, indikator lampu PON nya kedip wrna merah nih dr td siang, gmn ya cara ngatasinya? terima kasih 3104",,
lulu,@lulu73775096,2023-06-14T15:33:36.000Z,"@IndiHome @IndiHome halo kak, indikator lampu PON nya kedip wrna merah nih dr td siang, gmn ya cara ngatasinya? terima kasih 581",,
Anonym,@Yaudahsi11_,2023-06-14T15:23:27.000Z,@IndiHome @IndiHomeCare apasi ngelag bgtttttt woee 148,,
Fajrin,@Molenelo,2023-06-14T15:15:14.000Z,Kebiasan banget u kalo ujan jaringan nya ilang @IndiHome 3127,,
Dika,@Vrynnix,2023-06-14T15:07:17.000Z,KONEKSI BAPUK AASUUUU PERBAIKAN MANA ANJAY MASIH SUKA RTO GA JELASSSS PROVIDER SURAM BERHENTI LANGGANAN LAH GUA SEKARANG @IndiHome @IndiHomeCare 195,,
McGillis,@NEIXYUU,2023-06-14T15:05:22.000Z,thank u @IndiHome @IndiHomeCare  I'll quit ur service soon ,,
iky,@rifky_asr13,2023-06-14T14:46:54.000Z,"@IndiHomeCare , @IndiHome , @TelkomCare , koneksi malam ini kurang stabil kah ? 151",,
sept,@Septiaendahds,2023-06-14T14:36:14.000Z,"Membalas @nctminded @shuaananaa dan @IndiHome dzolim bgt menyulitkan org, giliran bayar telat sehari lgsg dimatiin. giliran bayar udh duluan masih aja lemot lo indihomee",,2.0
sept,@Septiaendahds,2023-06-14T14:34:55.000Z,"Membalas @nctminded dan @IndiHome bener kak tiap hari, cuma ngemeng doang adminnya di refresh2 tp ttp aja, padahal baru bgt bayar bbrp hari yg lalu",,1.0
Guss,@yoursyno_,2023-06-14T14:29:41.000Z,@IndiHome @IndiHomeCare Apa ada paket di harga 280 an ? ,,
Biznet Home,@BiznetHome,2023-06-14T13:03:49.000Z,"Membalas @buyunkpadavocal @IndiHome dan @IndiHomeCare Halo @buyunkpadavocal , selamat malam. Baik, terima kasih telah tertarik #pakebiznet, untuk memastikan lebih lanjut, bisa dibantu dengan nama jalan, kelurahan, kecamatan dan kota? Thanks^iqb",,
jacktheriiper,@ardhy071005,2023-06-14T13:03:49.000Z,malam @IndiHome 156,,
Aska Nugraha,@AskaNugraha9,2023-06-14T13:03:39.000Z,@IndiHome lag oi 366,,
sababuyungguci,@buyunkpadavocal,2023-06-14T12:47:11.000Z,Membalas @buyunkpadavocal @IndiHome @IndiHomeCare Dari belasan langsung loncat ke ratusan. Telkomsel lebih parah lagi. Ga ada tuh belasan ms. merah terus. Kalo @BiznetHome udah masuk sini ogah banget pake Indihome.,,
Tri Wahyudi,@TYhudie,2023-06-14T12:16:58.000Z,"@IndiHome @IndiHomeCare kenapa njir, drop ampe 0,11 Mbps, paket mahal doang, lemot minta ampun,.Nanggepin pengaduan lama bnget diproses.. 1164",,
trakdung des,@midak_kodok21,2023-06-14T12:03:30.000Z,Membalas @SiaranBolaLive @IndiHome  min gimana cara berhenti langanan,,
R Nurhudin,@Hriann97,2023-06-14T11:54:34.000Z,Membalas @IndiHomeCare dan @IndiHome Cara pengajuan gantinya gimna min. Ini saya pakai yang lama,,
M Reza V,@MRezaV66,2023-06-14T11:54:09.000Z,Membalas @IndiHomeCare dan @IndiHome Tidak dapat mengirim DM,,
R. Van,@dyingbed,2023-06-14T11:24:54.000Z,Membalas @dyingbed @IndiHome kode error 1901,,
jessxs,@_jessxs,2023-06-14T11:08:24.000Z,Membalas @PrinceBerkuda @IndiHomeCare dan @IndiHome Is this what Prince’s house looks like?,,
Dua puluh empat,@Andriocktoberi2,2023-06-14T11:07:19.000Z,@IndiHome knpa wifi di rmh saya kedip merah terus. Dr pagi gk konek konek 589,,
Renza Yoshida,@RenzaYoshida,2023-06-14T11:06:37.000Z,Membalas @Patron06539588 @IndiHome dan @IndiHomeCare Merah kedip kak,,
jesse,@Patron06539588,2023-06-14T11:05:52.000Z,Membalas @RenzaYoshida @IndiHome dan @IndiHomeCare ngga merah kak?,,
Renza Yoshida,@RenzaYoshida,2023-06-14T11:02:09.000Z,"@IndiHome  @IndiHomeCare Sore min, wifi di rumah saya dari tadi pagi gabisa dipake, sudah di restart tiap 30 menit tapi tetep no internet, indikator LOS di router kedip-kedip, kira-kira kenapa ya? Saya searching sih gangguan daerah saya, tapi biasanya gangguan enggak selama ini 2241",,
rey rere,@PrinceBerkuda,2023-06-14T10:46:19.000Z,"Gercep banget sejam bikin tiket pengaduan eh langsung dateng teknisinyaaa thankyou indihome @IndiHomeCare @IndiHome Kutip Tweetrey rere@PrinceBerkuda·14 Junminn @IndiHome @IndiHomeCare wifi aku mati daritadi siang (semenjak mati lampu) dan sampe sekarang belum bisa idupppp, gimana yaaaaa??? aku harus ngapain??? tq",,5.0
is wahyudi,@iswahyudi2402,2023-06-14T09:12:20.000Z,"Membalas @RickyCho8 @IndiHomeCare dan @IndiHome setuju,saya jg merasakan hal yg sama. speed sering dropp tidak sesuai paket",,
bucin kucing,@esbatukotak,2023-06-14T09:10:03.000Z,"@IndiHomeCare @IndiHome ini sampe lebaran haji cuma di bilang alamat ga sesuai ga dikasih solusi selain restart, paling ditanya kpn jam menit terakhir gangguan hadeeh yg bener aja lu 275",,
retweeter,@egikuncen,2023-06-14T09:09:45.000Z,"Baru beberapa hari lalu complain, ada teknisi ke rumah dan tuntas. Hari ini udah gini lagi aja hehehe @IndiHome @IndiHomeCare ",,
rey rere,@PrinceBerkuda,2023-06-14T08:52:27.000Z,"minn @IndiHome @IndiHomeCare wifi aku mati daritadi siang (semenjak mati lampu) dan sampe sekarang belum bisa idupppp, gimana yaaaaa??? aku harus ngapain??? tq 211.177",1.0,
,@_Leafde,2023-06-14T08:44:05.000Z,"@IndiHome Woyyy signalnyaaaa bapuk banget astaga. Tagihan naik terus, dari 200rb skrg jadi 500. Auk apa yg diupgrade ntar gue putus juga nih 196",,
𝐄𝐋 wiæbu ✧*。,@nunnajaeyun,2023-06-14T08:35:41.000Z,"@IndiHomeCare @IndiHome min gimana kalo modemnya udah di ambil tapi tetep dapet surat tunggakan bayar yaa?? kan udah ga pake wifinya min, kenapa tetel disuruh bayar!?!?? 135",,
Fitri Yani,@FitriYa8756578,2023-06-14T08:07:37.000Z,@IndiHome baca dm 125,,
supramen,@leslaiii3,2023-06-14T08:06:56.000Z,@IndiHome cek cek 111,,
Andi Odank,@AndiOda68941289,2023-06-14T08:06:17.000Z,@IndiHome mau tanya 120,,
BWR,@Belawr77965871,2023-06-14T08:05:39.000Z,@IndiHome soree 134,,
SPS,@Yasmin160118,2023-06-14T08:05:03.000Z,@IndiHome cek dm 17,,
IndiHome,@IndiHome,2023-06-14T07:58:22.000Z,"Sekarang setiap sudut rumah Sobat bisa terjangkau internet dengan lancar, loh! Cukup langganan Ultra Wifi aja Tanpa perangkat baru bikin praktis pemasangannya. Cek info selengkapnya di http://myih.ch/ultra-wifi. #AktivitasTanpaBatas#InternetnyaIndonesia#IndiHome ",2.0,5.0
IndiHome,@IndiHome,2023-06-14T07:50:01.000Z,"Ada yang lagi turun nih! Apa tuh?  Paket IndiHome (Dengan Akses Netflix) kini lebih hemat! Streaming beragam film dengan kecepatan stabil hingga 100 Mbps Cuss, cek langsung promonya di http://myih.ch/paket-akses-netflix…#AktivitasTanpaBatas#InternetnyaIndonesia#IndiHome ",2.0,5.0
LokiWannabe,@mrnotyourbae,2023-06-14T07:45:46.000Z,"Tolong @IndiHomeHubungi pelanggan dgn cara lain selain tlpn nomor lsg, kan ada email dll? Ini saya udh di tlpn dri tgl 9 smpai skrg 14, oleh bbrapa nomor berbedaKondisi lagi ada kerjaan atau tengah main game di tlpn tiba tiba trs oleh nomor berbedaMengganggu banget asli. 335",,
sagita_mania,@sagitamania123,2023-06-14T05:40:12.000Z,@IndiHome Min mau tanya 137,,
Black for alive,@Blackterrible,2023-06-14T05:28:14.000Z,"@IndiHome Hi, pindah alamat gimana caranya ya?! 132",,
Sefti,@katrinakaifpict,2023-06-14T05:17:53.000Z,Membalas @IndiHomeCare dan @IndiHome Emangnya ada apa yakak sama teknisi. Baru aja aku chatan,,
nela,@1nd0mi3,2023-06-14T04:03:25.000Z,"@IndiHomeCare min kalo tbtb ada teknisi ke kos buat benerin router, trs tbtb  orgnya gakda sm routernya gakda tu penipuan apa gmnasiiiii? plis jwab ni pnting bgt @IndiHomeCare @IndiHome @indihomemalang 2109",,
wakandaforever,@negeriwakanda88,2023-06-14T04:02:15.000Z,"@TENESA_TELKOM @TelkomIndonesia @IndiHomeCare @IndiHome hallo, terkait laporan kami mengenai notifikasi panggilan masuk yg memberitahukan bahwa nomor telepon kami belum membayar tagihan dan akan diblokir jika belum membayar dalam jangka waktu yg ditentukan. 359",,
bucin kucing,@esbatukotak,2023-06-14T03:53:46.000Z,"Langganan wifi @IndiHome buat 2 rumah, tp anehnya yg satu super cepet & satunya sebaliknya super lemot smpe ga bisa dipake apa2 @IndiHomeCare ",,
MasHermawan,@MasHermawan08,2023-06-14T03:49:20.000Z,Membalas @IndiHomeCare dan @IndiHome Kalau ganti modem apa harus nunggu modem pama rusak dulu?,,
x0Andy.io,@andy_suwito,2023-06-14T03:46:29.000Z,"Membalas @IndiHomeCare dan @IndiHome caranya gimana min, modem saya kadanga mati2 sendiri. tombol powernya seret soanya huawei tipe lama",,
